,Condition,StairCond,Estimation,EstimationRT,Confidence,ConfidenceRT,Alpha,HR,Accuracy,Missed,nTrials
0,More,1.0,up,1.7637529000639915,6,1.186,30,65,1,False,0
1,Less,0.0,down,1.520869500003755,7,1.444,-30,67,1,False,1
2,More,0.0,up,2.8757612998597324,5,1.488,10,63,1,False,2
3,Less,0.0,up,3.356993000023067,2,1.304,-1,66,0,False,3
4,More,1.0,up,2.530294999945909,4,1.139,10,62,1,False,4
5,More,1.0,down,3.5444356000516564,2,0.866,1,68,0,False,5
6,Less,0.0,down,5.343787000048906,5,1.417,-13,66,1,False,6
7,Less,0.0,down,3.58844229998067,3,1.235,-13,65,1,False,7
8,Less,1.0,down,3.440001199953258,3,1.361,-13,66,1,False,8
9,Less,0.0,up,2.6075289000291377,5,1.343,-6,64,0,False,9
10,More,1.0,up,1.7630952999461442,6,1.467,13,69,1,False,10
11,Less,1.0,up,3.2313084001652896,4,1.315,-6,72,0,False,11
12,Less,0.0,down,1.68407310009934,5,1.034,-10,67,1,False,12
13,More,1.0,up,3.295410000020638,3,1.213,10,69,1,False,13
14,Less,1.0,down,3.63989290012978,1,1.341,-10,71,1,False,14
15,Less,1.0,up,4.6462928000837564,2,1.484,-7,61,0,False,15
16,Less,1.0,down,1.9413944000843912,5,0.901,-9,62,1,False,16
17,More,0.0,up,1.5481811999343336,6,1.36,10,64,1,False,17
18,More,0.0,up,2.010722199920565,7,1.549,7,66,1,False,18
19,Less,0.0,down,4.291411800077185,1,1.312,-7,66,1,False,19
20,More,1.0,up,3.5492991998326033,5,1.62,9,62,1,False,20
21,More,1.0,up,3.385422599967569,5,1.359,8,65,1,False,21
22,Less,0.0,down,3.40970450011082,3,3.019,-4,66,1,False,22
23,More,1.0,up,3.7726427000015974,5,1.234,8,64,1,False,23
24,Less,1.0,up,4.705043700058013,3,1.431,-7,71,0,False,24
25,More,1.0,up,3.319775399984792,6,1.703,8,68,1,False,25
26,Less,0.0,up,2.4923616000451148,6,1.641,-4,70,0,False,26
27,More,0.0,up,1.3694682999048382,7,1.333,6,71,1,False,27
28,More,1.0,up,4.177291499916464,6,1.383,8,64,1,False,28
29,Less,0.0,down,3.0981265001464635,5,3.024,-6,61,1,False,29
30,More,1.0,down,4.490162999834865,3,2.832,7,63,0,False,30
31,More,0.0,up,3.824199300026521,5,2.699,5,67,1,False,31
32,Less,1.0,,,,,-8,119,,True,32
33,More,0.0,,,,,5,132,,True,33
34,Less,0.0,,,,,-5,180,,True,34
35,More,1.0,up,1.1535966000519693,7,1.945,8,172,1,False,35
36,More,0.0,up,2.035702999914065,7,1.162,5,96,1,False,36
37,More,0.0,up,2.66527480003424,5,1.358,4,79,1,False,37
38,Less,0.0,up,4.994529800023884,1,0.896,-4,67,0,False,38
39,Less,0.0,down,2.371195500018075,4,0.88,-5,64,1,False,39
40,Less,0.0,up,4.108816700056195,2,0.703,-5,68,0,False,40
41,Less,0.0,down,4.780295600183308,2,1.088,-6,65,1,False,41
42,Less,1.0,down,6.75323719996959,4,1.033,-8,55,1,False,42
43,Less,0.0,down,5.587937399977818,3,0.848,-6,57,1,False,43
44,More,1.0,down,4.529413000214845,3,1.303,7,58,0,False,44
45,More,1.0,up,6.293970299884677,6,0.947,8,61,1,False,45
46,Less,1.0,down,4.611727199982852,5,2.651,-8,59,1,False,46
47,Less,0.0,down,3.8900059999432415,1,0.792,-5,64,1,False,47
