,Condition,StairCond,Estimation,EstimationRT,Confidence,ConfidenceRT,Alpha,HR,Accuracy,Missed,nTrials
0,Less,0.0,down,1.3826520000002347,7,1.774,-40,66,1,False,0
1,More,1.0,down,1.0548608999961289,5,2.295,5,70,0,False,1
2,Less,0.0,down,1.4394434000132605,7,1.729,-20,64,1,False,2
3,More,0.0,down,1.712183700001333,6,1.597,1,63,0,False,3
4,Less,0.0,down,1.3892064999963623,6,2.851,-13,68,1,False,4
5,More,0.0,up,1.4658444999950007,6,1.322,13,68,1,False,5
6,Less,1.0,down,1.4833246000052895,6,1.53,-25,69,1,False,6
7,More,0.0,up,1.8349867000069935,5,1.482,1,71,1,False,7
8,More,1.0,up,1.5215735999954632,7,1.17,13,70,1,False,8
9,More,0.0,down,1.150926399990567,1,1.61,1,74,0,False,9
10,More,1.0,up,1.596393799991347,5,3.019,13,76,1,False,10
11,Less,0.0,down,1.3183271000016248,6,1.953,-8,78,1,False,11
12,Less,0.0,down,1.5646898999984842,6,0.788,-8,71,1,False,12
13,Less,0.0,down,1.790782500000205,7,1.896,-4,71,1,False,13
14,Less,1.0,down,1.6979403000004822,4,1.633,-1,68,1,False,14
15,More,0.0,up,1.5865504999965196,5,1.6,4,66,1,False,15
16,More,1.0,down,3.552017399997567,2,1.726,1,67,0,False,16
17,More,0.0,down,1.665952900002594,5,2.244,1,68,0,False,17
18,More,1.0,up,1.7149173000070732,5,1.946,13,71,1,False,18
19,More,1.0,up,1.3892115999915404,6,1.389,13,69,1,False,19
20,Less,0.0,up,2.136489199998323,5,1.417,-4,69,0,False,20
21,More,1.0,up,1.5546330999932252,7,2.2,6,78,1,False,21
22,Less,1.0,down,1.8211524999933317,3,2.204,-6,75,1,False,22
23,Less,1.0,down,2.0253547000029357,6,2.06,-1,73,1,False,23
24,More,1.0,up,1.1865727999975206,5,3.025,1,73,1,False,24
25,Less,0.0,down,1.6244464999908814,7,2.154,-7,73,1,False,25
26,More,1.0,up,1.7619169999961741,6,1.012,1,77,1,False,26
27,More,1.0,up,1.3595415000017965,7,1.862,1,71,1,False,27
28,Less,0.0,down,2.228769800000009,3,0.745,-7,77,1,False,28
29,Less,1.0,up,1.8303978999902029,6,1.165,-1,76,0,False,29
30,More,0.0,up,1.4697793000086676,6,1.073,5,70,1,False,30
31,More,0.0,down,1.5383760999975493,3,1.529,5,73,0,False,31
32,More,0.0,up,1.3432672000053572,7,1.482,6,75,1,False,32
33,More,1.0,down,2.1764352999889525,2,0.75,5,71,0,False,33
34,Less,1.0,down,1.336787499996717,6,2.094,-9,72,1,False,34
35,Less,0.0,down,1.542165599996224,4,2.271,-6,70,1,False,35
36,Less,0.0,down,1.272818700002972,6,1.595,-5,70,1,False,36
37,Less,0.0,up,1.9629355999932159,4,2.329,-5,73,0,False,37
38,More,0.0,up,1.7899196999933338,6,1.613,6,72,1,False,38
39,More,1.0,up,1.540154700007406,5,2.136,9,70,1,False,39
40,Less,0.0,down,1.4639383000030648,1,2.396,-6,75,1,False,40
41,More,0.0,up,1.4262254999921424,6,1.514,5,79,1,False,41
42,Less,1.0,up,1.5863590999942971,7,1.759,-6,80,0,False,42
43,More,0.0,up,1.4010130999959074,7,1.471,5,78,1,False,43
44,More,1.0,up,1.572313500000746,5,2.309,8,81,1,False,44
45,Less,1.0,down,1.498518399996101,5,2.967,-8,71,1,False,45
46,Less,0.0,down,1.3713716000056593,6,1.948,-4,70,1,False,46
47,More,1.0,up,1.6210780999972485,6,1.319,7,70,1,False,47
48,Less,0.0,down,2.0324859999964247,1,2.633,-4,73,1,False,48
49,Less,1.0,up,3.881470000007539,2,1.739,-7,74,0,False,49
50,Less,0.0,up,1.5994027999986429,6,2.19,-3,76,0,False,50
51,Less,1.0,down,2.2469085000047926,1,1.478,-8,72,1,False,51
52,Less,0.0,up,2.2110989000066184,4,1.438,-4,73,0,False,52
53,More,0.0,up,1.5479572000040207,2,3.024,5,73,1,False,53
54,More,1.0,down,1.8481237999949371,2,2.424,8,72,0,False,54
55,More,0.0,up,1.7083053999958793,4,2.297,5,72,1,False,55
56,More,1.0,up,1.5767636999953538,4,2.119,9,78,1,False,56
57,Less,1.0,down,1.8651384000113467,5,1.55,-9,78,1,False,57
58,Less,0.0,up,2.0249177000077907,4,1.694,-4,84,0,False,58
