condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_3.thisRepN,trials_3.thisTrialN,trials_3.thisN,trials_3.thisIndex,trials_5.thisRepN,trials_5.thisTrialN,trials_5.thisN,trials_5.thisIndex,trials_4.thisRepN,trials_4.thisTrialN,trials_4.thisN,trials_4.thisIndex,trials_6.thisRepN,trials_6.thisTrialN,trials_6.thisN,trials_6.thisIndex,key_resp.keys,key_resp.rt,key_resp.started,key_resp.stopped,text_2.started,text_2.stopped,fiCross1.started,fiCross1.stopped,text_3.started,text_3.stopped,image_2.started,image_2.stopped,sound_2.started,sound_2.stopped,fiCross2.started,fiCross2.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.started,mouse.stopped,sound_1.started,sound_1.stopped,textDecision.started,textDecision.stopped,image.started,image.stopped,text_Less.started,text_Less.stopped,text_More.started,text_More.stopped,rating.response,rating.rt,rating.history,rating.started,rating.stopped,accuracy,AverageHR,Listen.started,Listen.stopped,textListen.started,textListen.stopped,text_7.started,text_7.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,5,1.6019096999953035,9.354879599995911,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Extero,0,0,0,1,,,,,0,0,0,0,,,,,,,,,,,,,,,,,9.354879599995911,None,10.97201800000039,None,11.42612519999966,None,11.42612519999966,None,11.404039579990787,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Extero,0,0,0,1,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,16.391671899997164,None,-0.12222222222222222,0.011111111111111112,1,0,0,1.2016004000033718,0.005562239995924756,None,16.79170144001255,None,16.802876800007652,None,16.802876800007652,None,16.802876800007652,None,16.802876800007652,None,0.76,1.329,"[(None, 0.0), (0.76, 1.329)]",0.009079979994567111,None,0,48,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Extero,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,0,0,0,0,,,,,,,,,,,,,0,0,0,0,,,,,,,23.163991000008537,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24.793612200010102,None,24.793612200010102,None,29.668936300004134,None,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,1,0,1,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.669962599989958,None,30.669962599989958,None,35.67380079999566,None,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,2,0,2,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36.675099799991585,None,36.675099799991585,None,41.67898249998689,None,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,3,0,3,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42.679852300003404,None,42.679852300003404,None,47.66686950001167,None,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,4,0,4,0,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48.66802650000318,None,48.66802650000318,None,53.67243549998966,None,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,54.67318899999373,None,-0.04537037037037037,-0.001851851851851852,1,0,0,4.270902899996145,0.008459339966066182,None,55.37389873999636,None,55.37556990000303,None,55.37556990000303,None,55.37556990000303,None,55.37556990000303,None,0.55,1.532,"[(None, 0.0), (0.55, 1.532)]",0.011142179981106892,None,0,60,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
Intero,0,1,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,001,2020_Jul_06_1823,HRD_fMRI,2020.1.2,60.186433493642056,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61.945578299986664,None,,,,,,,
