TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger,HeartRateOutlier
psi,Less,Extero,psi,Less,1.3994843997061253,34.0,1.1305672000162303,-0.5,96.5,96.0,1.0,True,True,0,22.80555049642993,12.549456998218947,1603306998.3983223,1603307004.4248323,1603307006.3661695,1603307006.388098,1603307007.748762,1603307007.8285458,False
psi,More,Extero,psi,More,0.965247799642384,100.0,0.8145587001927197,22.5,80.0,102.5,1.0,True,True,1,10.001882296206348,12.884901925252944,1603307008.2825034,1603307014.1180913,1603307015.6339195,1603307015.6578555,1603307016.6994052,1603307016.767225,False
psi,Less,Intero,psi,Less,2.198847800027579,57.0,1.5625660996884108,-0.5,76.5,76.0,1.0,True,True,2,22.80555049642993,12.549456998218947,1603307017.2161946,1603307022.8323212,1603307025.5846221,1603307025.6105528,1603307027.3995528,1603307027.513247,False
psi,More,Extero,psi,More,1.2146279998123646,87.0,0.91145440004766,10.5,84.0,94.5,1.0,True,True,3,0.99838414946872,13.044743812284148,1603307027.965924,1603307033.8722293,1603307035.6337519,1603307035.661677,1603307036.7997758,1603307036.8845153,False
psiCatchTrial,Less,Extero,psiCatchTrial,Less,1.665565799921751,100.0,0.5090541001409292,-30.0,83.5,53.5,1.0,True,True,4,,,1603307037.350032,1603307043.261122,1603307045.4676886,1603307045.497609,1603307046.23403,1603307046.295834,False
psiCatchTrial,Less,Intero,psiCatchTrial,Less,2.732711399905384,88.0,0.6233080998063087,-30.0,87.0,57.0,1.0,True,True,5,,,1603307046.5836306,1603307052.178383,1603307055.4513662,1603307055.484309,1603307056.3340335,1603307056.4074125,False
psi,More,Intero,psi,More,1.5980579000897706,82.0,1.7887567998841405,22.5,89.0,111.5,1.0,True,True,6,10.001882296206348,12.884901925252944,1603307056.7002187,1603307062.278378,1603307064.418667,1603307064.452083,1603307066.4671376,1603307066.6267114,False
psiCatchTrial,More,Intero,psiCatchTrial,Less,1.798362500034273,98.0,1.6372758001089096,10.0,65.5,75.5,0.0,True,True,7,,,1603307067.0840356,1603307072.6625745,1603307075.0011842,1603307075.0376012,1603307076.9013045,1603307077.0549302,False
psi,Less,Extero,psi,Less,2.048436100129038,79.0,0.5675232000648975,-1.5,78.0,76.5,1.0,True,True,8,6.888851480607058,11.54155803363549,1603307077.3510602,1603307083.3530807,1603307085.9527185,1603307085.9906175,1603307086.78512,1603307086.8649068,False
psi,More,Intero,psi,Less,1.7146398001350462,39.0,0.8834963999688625,10.5,71.5,82.0,0.0,True,True,9,18.93840691316585,12.7262490400086,1603307087.3187563,1603307092.903516,1603307095.1703296,1603307095.2082286,1603307096.3188064,1603307096.4325356,False
psi,More,Intero,psi,More,1.2138473000377417,95.0,0.5441534002311528,18.5,91.0,109.5,1.0,True,True,10,13.151946795859578,11.931038236123035,1603307096.9020276,1603307102.5094304,1603307104.269063,1603307104.3144474,1603307105.0858064,1603307105.1705794,False
psiCatchTrial,Less,Intero,psiCatchTrial,Less,1.5468757003545759,69.0,1.44341540010646,-20.0,74.5,54.5,1.0,True,True,11,,,1603307105.6357276,1603307111.2238257,1603307113.321295,1603307113.3651779,1603307115.0362818,1603307115.2018516,False
psi,More,Intero,psi,Less,1.646708799991757,23.0,1.4254434001632037,13.5,59.0,72.5,0.0,True,True,12,17.497821672819537,11.519046350323341,1603307115.5023713,1603307121.0934315,1603307123.288241,1603307123.3331206,1603307124.9858768,1603307125.1604328,False
psi,More,Intero,psi,Less,3.4489974002353847,11.0,0.8902119998820126,20.5,72.0,92.5,0.0,True,True,13,22.449921647819387,14.566270048683114,1603307125.6200185,1603307131.2139218,1603307135.2046182,1603307135.2534876,1603307136.3703306,1603307136.499751,False
psi,More,Intero,psi,More,1.4961850000545382,76.0,0.6533534000627697,28.5,85.0,113.5,1.0,True,True,14,19.868910167749807,13.340791655450232,1603307136.9530857,1603307142.572002,1603307144.6235359,1603307144.6744142,1603307145.553276,1603307145.6649785,False
psiCatchTrial,More,Intero,psiCatchTrial,More,1.2823621002025902,56.0,0.5840273997746408,20.0,85.5,105.5,1.0,True,True,15,,,1603307146.1204574,1603307151.7165296,1603307153.541591,1603307153.5934525,1603307154.4041328,1603307154.5118446,False
psi,More,Extero,psi,Less,1.0780921000987291,36.0,1.6495292000472546,6.5,65.5,72.0,0.0,True,True,16,11.535202189455015,12.00140397922924,1603307154.804118,1603307161.0015113,1603307162.6403284,1603307162.6941922,1603307164.5713544,1603307164.8017385,False
