TrialType,Condition,Modality,StairCond,Decision,DecisionRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,DecisionProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
psi,Less,Extero,psi,Less,2.0672081999946386,70.0,0.641222000005655,-0.5,69.0,68.5,True,True,True,0,22.80555049642993,12.549456998218943,1623934415.642542,1623934421.4261484,1623934424.0417771,1623934424.0667107,1623934424.9420729,1623934425.0059023
psi,Less,Intero,psi,More,1.367117799934931,66.0,1.0264604000840336,-0.5,87.0,86.5,False,True,True,1,-23.24542254487094,12.550553475165676,1623934425.4595118,1623934431.01167,1623934432.925841,1623934432.9527695,1623934434.2093427,1623934434.2941184
psi,Less,Intero,psi,Less,1.6002044000197202,66.0,0.9918057000031696,-23.5,91.5,68.0,True,True,True,2,-10.897009912607174,12.875481325119662,1623934434.759589,1623934440.3129022,1623934442.4595697,1623934442.4874952,1623934443.7103372,1623934443.7971003
psi,Less,Intero,psi,Less,1.416903299978003,78.0,1.1552208000794053,-11.5,78.5,67.0,True,True,True,3,-1.9382663526262425,13.045472545280248,1623934444.2769475,1623934449.832482,1623934451.7933173,1623934451.8252418,1623934453.2098155,1623934453.3185833
psi,More,Extero,psi,More,1.3502424999605864,100.0,0.9531148000387476,22.5,53.5,76.0,True,True,True,4,10.00188229620635,12.884901925252942,1623934453.7934144,1623934459.6550322,1623934461.543193,1623934461.5780995,1623934462.7605891,1623934462.856866
psi,More,Extero,psi,More,1.73380080005154,78.0,0.5141200999496505,10.5,49.5,60.0,True,True,True,5,0.99838414946872,13.044743812284148,1623934463.3271894,1623934469.2170885,1623934471.4944804,1623934471.5323825,1623934472.2776887,1623934472.3464782
psi,More,Intero,psi,More,1.2836497999960557,94.0,0.6672133000101894,0.5,80.5,81.0,True,True,True,6,-7.8789771856153985,11.53986377321524,1623934472.8108118,1623934478.373292,1623934480.1937573,1623934480.2306526,1623934481.1277995,1623934481.214136
psi,Less,Intero,psi,Less,1.4838921999325976,69.0,0.71088980010245,-7.5,83.5,76.0,True,True,True,7,-3.3533866026553465,11.093197569232558,1623934481.6943614,1623934487.258504,1623934489.2947843,1623934489.3366723,1623934490.27844,1623934490.3674722
psi,Less,Intero,psi,More,1.2839953999500722,85.0,0.9777299000415952,-3.5,95.0,91.5,False,True,True,8,-6.743991983052569,10.439661476669434,1623934490.844968,1623934496.410638,1623934498.2438538,1623934498.2867374,1623934499.4950967,1623934499.6187973
psi,Less,Extero,psi,Less,1.41690239997115,63.0,0.6752290999284014,-1.5,61.0,59.5,True,True,True,9,6.888851480607057,11.54155803363549,1623934500.0946596,1623934506.069305,1623934508.0293038,1623934508.0731869,1623934508.9788394,1623934509.0730896
psi,Less,Intero,psi,More,4.034117300063372,35.0,1.472584699979052,-9.5,90.5,81.0,False,True,True,10,-10.689752593556754,13.350886246587368,1623934509.545061,1623934515.114724,1623934519.695793,1623934519.7456894,1623934521.4461062,1623934521.6166503
psi,Less,Intero,psi,Less,1.366943300003186,66.0,0.8553810000885278,-16.5,83.0,66.5,True,True,True,11,-8.675412072408422,12.136962341049797,1623934522.0956206,1623934527.6706858,1623934529.580287,1623934529.6281257,1623934530.7127583,1623934530.8374534
psi,More,Extero,psi,Less,2.483568900031969,54.0,0.9896589999552816,6.5,61.0,67.5,False,True,True,12,11.535202189455015,12.00140397922924,1623934531.3127997,1623934537.357262,1623934540.379243,1623934540.427115,1623934541.6467743,1623934541.788396
psi,More,Extero,psi,More,1.3338084999704731,100.0,1.2454018000280485,13.5,87.0,100.5,True,True,True,13,8.300797434372837,10.450792548902944,1623934542.2630515,1623934548.339788,1623934550.2137723,1623934550.2705936,1623934551.747472,1623934551.9229984
psi,Less,Intero,psi,Less,1.3168777999235315,68.0,1.3977056000148878,-15.5,88.0,72.5,True,True,True,14,-7.365593525153254,11.085602174412408,1623934552.3974686,1623934557.976587,1623934559.848113,1623934559.9029942,1623934561.5305016,1623934561.7240162
psi,Less,Intero,psi,More,1.5668976999586448,76.0,1.160802600090392,-0.5,94.5,94.0,False,True,True,15,-8.478551118646847,9.94320945730439,1623934562.1976657,1623934567.7821803,1623934569.897435,1623934569.95628,1623934571.3478053,1623934571.5287795
psi,More,Extero,psi,More,1.817006599972956,79.0,0.5081151000922546,5.5,97.5,103.0,True,True,True,16,4.675416729068773,12.495273441768656,1623934572.030825,1623934578.1712737,1623934580.5312834,1623934580.5931451,1623934581.331948,1623934581.4406557
psi,Less,Extero,psi,Less,2.000627400004305,64.0,1.0714765000157058,-1.5,69.5,68.0,True,True,True,17,6.407455092792498,11.277413722586548,1623934581.9320292,1623934588.0923986,1623934590.6312025,1623934590.6969974,1623934591.9990716,1623934592.183127
psi,More,Extero,psi,More,1.5170230000512674,88.0,0.5873028000351042,12.5,62.0,74.5,True,True,True,18,5.1304171650753885,10.15447425699794,1623934592.665277,1623934598.8563693,1623934600.9158492,1623934600.9816508,1623934601.7994125,1623934601.9241054
psi,Less,Intero,psi,Less,1.767907099914737,32.0,1.1386583000421524,-14.5,87.0,72.5,True,True,True,19,-7.60372020369384,8.919650390584506,1623934602.4159286,1623934608.007859,1623934610.315761,1623934610.382578,1623934611.749711,1623934611.9541662
psi,Less,Extero,psi,Less,2.7668227999238297,57.0,1.117795699974522,-0.5,76.0,75.5,True,True,True,20,6.220634103837242,8.978114380754217,1623934612.4496992,1623934618.704287,1623934622.015819,1623934622.0856302,1623934623.433067,1623934623.6325336
psi,More,Extero,psi,More,1.3505546000087634,95.0,0.6116082998923957,11.5,76.5,88.0,True,True,True,21,5.38699448270317,7.925345134586831,1623934644.7509174,1623934650.330404,1623934652.2342122,1623934652.2411935,1623934653.0840445,1623934653.1109726
psi,More,Extero,psi,Less,3.1506169999483973,65.0,0.7099839999573305,1.5,41.0,42.5,False,True,True,22,6.195016880287968,6.948570645337763,1623934653.567052,1623934659.1681664,1623934662.8678105,1623934662.8767865,1623934663.81835,1623934663.8502598
psi,Less,Intero,psi,More,1.5846809000940991,48.0,1.9940245000179857,-1.5,85.5,84.0,False,True,True,23,-8.340800240374936,7.899214786533621,1623934664.3017406,1623934669.8364654,1623934671.969398,1623934671.979371,1623934674.2013106,1623934674.2621503
psi,More,Extero,psi,More,1.833990600076504,79.0,0.5221418000292033,9.5,41.0,50.5,True,True,True,24,5.528420623174651,6.109914502337319,1623934674.7182198,1623934680.3634558,1623934682.7355406,1623934682.74853,1623934683.5015116,1623934683.5384457
