Condition,Modality,StairCond,Estimation,EstimationRT,Confidence,ConfidenceRT,Alpha,listenBPM,responseBPM,ResponseCorrect,EstimationProvided,RatingProvided,nTrials,EstimatedThreshold,EstimatedSlope,StartListening,StartDecision,ResponseMade,RatingStart,RatingEnds,endTrigger
Less,Extero,low,Less,1.8142977999523282,94.0,1.0122495999094099,-40.5,83.5,43.0,1,True,True,0,18.74234350412591,10.050538125005668,1595857053.4319482,1595857058.0675523,1595857060.4576628,1595857060.467207,1595857061.717359,1595857061.772547
More,Intero,high,More,1.5651126999873668,96.0,0.8029858000809327,40.5,69.0,109.5,1,True,True,1,-18.30212889491616,10.049474514314168,1595857062.1676674,1595857067.7577856,1595857069.8878555,1595857069.8980055,1595857070.9329023,1595857070.9878213
Less,Intero,low,Less,2.549261900014244,98.0,0.8246917999349535,-40.5,68.5,28.0,1,True,True,2,-8.191094665486572,10.293591422496087,1595857071.367879,1595857076.7531726,1595857079.8479872,1595857079.8580709,1595857080.9183252,1595857080.9730353
More,Extero,high,More,1.6655189000302926,96.0,0.9884230999741703,40.5,56.5,97.0,1,True,True,3,8.632936706484971,10.331513975699828,1595857081.3680105,1595857087.508405,1595857089.7486942,1595857089.7687545,1595857090.978719,1595857091.0484316
More,Intero,high,More,1.399011900066398,95.0,0.7496260000625625,20.5,70.5,91.0,1,True,True,4,-15.376570806487265,10.153789264450225,1595857091.4286773,1595857096.7488565,1595857098.7186606,1595857098.7389398,1595857099.7191415,1595857099.779024
Less,Intero,low,Less,2.232279899995774,90.0,2.0822536000050604,-20.5,71.5,51.0,1,True,True,5,-10.861777281022949,9.45956105780774,1595857100.1487896,1595857105.469353,1595857108.2692087,1595857108.294054,1595857110.5991373,1595857110.7294636
Less,Intero,low,Less,5.082276699948125,32.0,0.7606287999078631,-0.5,68.5,68.0,1,True,True,6,-6.974565035148743,10.09730687588996,1595857111.1341977,1595857116.5144892,1595857122.135273,1595857122.164812,1595857123.1495645,1595857123.2244923
Less,Extero,low,Less,2.4313890000339597,72.0,0.7869871000293642,-20.5,58.5,38.0,1,True,True,7,15.525312128118761,10.11721623535563,1595857123.619774,1595857129.670007,1595857132.6600301,1595857132.689948,1595857133.7004209,1595857133.7801788
More,Intero,high,More,2.0650354999816045,58.0,1.6559948000358418,0.5,76.5,77.0,1,True,True,8,-9.537148721540978,8.904341790558348,1595857134.1520257,1595857139.470474,1595857142.0904996,1595857142.1205246,1595857144.000585,1595857144.1405299
More,Extero,high,More,1.9826282999711111,79.0,1.2372148999711499,20.5,62.5,83.0,1,True,True,9,11.019118277419066,9.405000577376814,1595857144.5206656,1595857150.2608562,1595857152.7910838,1595857152.8209193,1595857154.285633,1595857154.4008589
More,Intero,low,More,1.9825856999959797,77.0,1.1605662000365555,19.5,69.0,88.5,1,True,True,10,-11.065209070926501,7.959526116086431,1595857154.7707918,1595857160.1008992,1595857162.6311102,1595857162.6661758,1595857164.0511267,1595857164.1713703
More,Extero,high,Less,3.398533200030215,16.0,0.8725355000933632,0.5,68.5,69.0,0,True,True,11,14.560177177233603,9.199605105082243,1595857164.551398,1595857169.8914711,1595857173.8516557,1595857173.8816948,1595857174.9817684,1595857175.081734
Less,Intero,high,Less,4.847162600024603,6.0,1.6999993999488652,-19.5,72.5,53.0,1,True,True,12,-9.654670089387736,6.732924148924751,1595857175.4717572,1595857180.802001,1595857186.222062,1595857186.2625756,1595857188.182244,1595857188.3659487
Less,Intero,high,More,2.0135420999722555,78.0,0.7929973000427708,-7.5,83.0,75.5,0,True,True,13,-11.625569687922034,8.611067764877529,1595857188.7323017,1595857194.0526748,1595857196.6425333,1595857196.6825132,1595857197.702722,1595857197.802635
